CustomerID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,avg_order_value,clv,customer_segment,coupon_recommendation
12346.0,400.0,1,10.4,5.0,1,1,7.0,10.4,4160.0,中低价值,小额代金券
12347.0,15.0,182,4812.1,1.0,5,5,11.0,26.44010989010989,72181.5,中高价值,中等代金券
12348.0,5.0,31,1787.1,1.0,3,4,8.0,57.648387096774194,8935.5,中低价值,小额代金券
12349.0,93.0,73,6051.0,2.0,4,5,11.0,82.89041095890411,562743.0,中高价值,中等代金券
12350.0,385.0,17,653.0,5.0,2,2,9.0,38.411764705882355,251405.0,中高价值,中等代金券
12352.0,112.0,85,13541.1,3.0,4,5,12.0,159.30705882352942,1516603.2,高价值,大额代金券
12353.0,278.0,4,243.0,5.0,1,1,7.0,60.75,67554.0,中低价值,小额代金券
12354.0,307.0,58,2612.2,5.0,3,4,12.0,45.03793103448275,801945.3999999999,高价值,大额代金券
12355.0,289.0,13,546.5,5.0,1,2,8.0,42.03846153846154,157938.5,中低价值,小额代金券
12356.0,97.0,59,1888.7,2.0,4,4,10.0,32.011864406779665,183203.90000000002,中高价值,中等代金券
12357.0,108.0,131,4386.7,3.0,5,5,13.0,33.48625954198473,473763.6,高价值,大额代金券
12358.0,235.0,19,1572.1,5.0,2,3,10.0,82.7421052631579,369443.5,中高价值,中等代金券
12359.0,133.0,248,21378.6,3.0,5,5,13.0,86.20403225806452,2843353.8,高价值,大额代金券
12360.0,127.0,129,4579.1,3.0,5,5,13.0,35.49689922480621,581545.7000000001,高价值,大额代金券
12361.0,362.0,10,333.5,5.0,1,1,7.0,33.35,120727.0,中低价值,小额代金券
12362.0,110.0,266,10482.9,3.0,5,5,13.0,39.4093984962406,1153119.0,高价值,大额代金券
12363.0,184.0,23,531.7,4.0,2,2,8.0,23.117391304347827,97832.8,中低价值,小额代金券
12364.0,115.0,85,1623.7,3.0,4,3,10.0,19.10235294117647,186725.5,中高价值,中等代金券
12365.0,366.0,22,3773.1000000000004,5.0,2,5,12.0,171.50454545454548,1380954.6,高价值,大额代金券
12367.0,382.0,11,352.0,5.0,1,1,7.0,32.0,134464.0,中低价值,小额代金券
12370.0,5.0,167,4676.5,1.0,5,5,11.0,28.00299401197605,23382.5,中高价值,中等代金券
12371.0,119.0,63,2440.8,3.0,4,4,11.0,38.74285714285715,290455.2,中高价值,中等代金券
12372.0,146.0,52,1560.7,4.0,3,3,10.0,30.013461538461538,227862.2,中高价值,中等代金券
12373.0,386.0,14,641.5,5.0,1,2,8.0,45.82142857142857,247619.0,中低价值,小额代金券
12374.0,100.0,33,1392.5,2.0,3,3,8.0,42.196969696969695,139250.0,中低价值,小额代金券
12375.0,85.0,17,1175.2,2.0,2,3,7.0,69.12941176470588,99891.99999999999,中低价值,小额代金券
12377.0,2.0,77,2093.5,1.0,4,4,9.0,27.18831168831169,4187.0,中高价值,中等代金券
12378.0,204.0,219,6564.4,4.0,5,5,14.0,29.97442922374429,1339137.5999999999,高价值,大额代金券
12379.0,156.0,40,1146.5,4.0,3,3,10.0,28.6625,178854.0,中高价值,中等代金券
12380.0,96.0,104,3513.8,2.0,4,4,10.0,33.78653846153846,337324.80000000005,中高价值,中等代金券
12381.0,108.0,87,4074.4,3.0,4,5,12.0,46.83218390804598,440035.2,高价值,大额代金券
12383.0,0.0,99,3056.1,1.0,4,4,9.0,30.869696969696967,0.0,中高价值,中等代金券
12384.0,103.0,27,2127.4,3.0,2,4,9.0,78.7925925925926,219122.2,中高价值,中等代金券
12386.0,14.0,10,239.1,1.0,1,1,3.0,23.91,3347.4,低价值,无代金券
12388.0,90.0,100,2777.7,2.0,4,4,10.0,27.776999999999997,249992.99999999997,中高价值,中等代金券
12390.0,154.0,32,1279.0,4.0,3,3,10.0,39.96875,196966.0,中高价值,中等代金券
12391.0,96.0,100,2459.9,2.0,4,4,10.0,24.599,236150.40000000002,中高价值,中等代金券
12393.0,147.0,64,1459.0,4.0,4,3,11.0,22.796875,214473.0,中高价值,中等代金券
12394.0,138.0,27,910.1,3.0,2,2,7.0,33.70740740740741,125593.8,中低价值,小额代金券
12395.0,5.0,156,6191.4,1.0,5,5,11.0,39.68846153846154,30957.0,中高价值,中等代金券
12397.0,110.0,126,4370.0,3.0,5,5,13.0,34.682539682539684,480700.0,高价值,大额代金券
12398.0,120.0,85,1693.8,3.0,4,3,10.0,19.92705882352941,203256.0,中高价值,中等代金券
12399.0,204.0,59,1247.6,4.0,4,3,11.0,21.145762711864407,254510.4,中高价值,中等代金券
12401.0,378.0,5,484.0,5.0,1,2,8.0,96.8,182952.0,中低价值,小额代金券
12402.0,398.0,11,362.0,5.0,1,1,7.0,32.90909090909091,144076.0,中低价值,小额代金券
12403.0,124.0,5,354.0,3.0,1,1,5.0,70.8,43896.0,低价值,无代金券
12405.0,223.0,54,1913.9,4.0,3,4,11.0,35.4425925925926,426799.70000000007,中高价值,中等代金券
12406.0,96.0,105,2611.4,2.0,4,4,10.0,24.870476190476193,250694.40000000002,中高价值,中等代金券
